asn|vendor_id|sku_id|po_number|ordered_quantity|order_date|received_quantity|operation
asn1||1|po_01|5|2022-02-20|4|DELETE
asn2||2|po_02|6|2022-02-21|4.5|DELETE
asn3||3|po_03|7|2022-02-22|5|DELETE
asn4||4|po_04|8|2022-02-23|5.5|DELETE
asn5||5|po_05|9|2022-02-24|6|DELETE
asn6||6|po_06|10|2022-02-25|6.5|DELETE
asn7||7|po_07|11|2022-02-26|7|DELETE
asn8||8|po_08|12|2022-02-27|7.5|DELETE
asn9||9|po_09|13|2022-02-28|8|DELETE
asn10||10|po_10|14|2022-03-01|8.5|DELETE
asn11||11|po_11|15|2022-03-02|9|DELETE
asn12||12|po_12|16|2022-03-03|9.5|DELETE
asn13||13|po_13|17|2022-03-04|10|DELETE
asn14||14|po_14|18|2022-03-05|10.5|DELETE
asn15||15|po_15|19|2022-03-06|11|DELETE
asn16||16|po_16|20|2022-03-07|11.5|DELETE
asn17||17|po_17|21|2022-03-08|12|DELETE
asn18||18|po_18|22|2022-03-09|12.5|DELETE
asn19||19|po_19|23|2022-03-10|13|DELETE
asn20||20|po_20|24|2022-03-11|13.5|DELETE
asn21||21|po_21|25|2022-03-12|14|DELETE
asn22||22|po_22|26|2022-03-13|14.5|DELETE
asn23||23|po_23|27|2022-03-14|15|DELETE
asn24||24|po_24|28|2022-03-15|15.5|DELETE
asn25||25|po_25|29|2022-03-16|16|DELETE
asn26||26|po_26|30|2022-03-17|16.5|DELETE
asn27||27|po_27|31|2022-03-18|17|DELETE
asn28||28|po_28|32|2022-03-19|17.5|DELETE
asn29||29|po_29|33|2022-03-20|18|DELETE
asn30||30|po_30|34|2022-03-21|18.5|DELETE
asn31||31|po_31|35|2022-03-22|19|DELETE
asn32||32|po_32|36|2022-03-23|19.5|DELETE
asn33||33|po_33|37|2022-03-24|20|DELETE
asn34||34|po_34|38|2022-03-25|20.5|DELETE
asn35||35|po_35|39|2022-03-26|21|DELETE
asn36||36|po_36|40|2022-03-27|21.5|DELETE
asn37||37|po_37|41|2022-03-28|22|DELETE
asn38||38|po_38|42|2022-03-29|22.5|DELETE
asn39||39|po_39|43|2022-03-30|23|DELETE
asn40||40|po_40|44|2022-03-31|23.5|DELETE
asn41||41|po_41|45|2022-04-01|24|DELETE
asn42||42|po_42|46|2022-04-02|24.5|DELETE
asn43||43|po_43|47|2022-04-03|25|DELETE
asn44||44|po_44|48|2022-04-04|25.5|DELETE
asn45||45|po_45|49|2022-04-05|26|DELETE
asn46||46|po_46|50|2022-04-06|26.5|DELETE
asn47||47|po_47|51|2022-04-07|27|DELETE
asn48||48|po_48|52|2022-04-08|27.5|DELETE
asn49||49|po_49|53|2022-04-09|28|DELETE
asn50||50|po_50|54|2022-04-10|28.5|DELETE
asn51||51|po_51|55|2022-04-11|29|INSERT
asn52||52|po_52|56|2022-04-12|29.5|INSERT
asn53||53|po_53|57|2022-04-13|30|INSERT
asn54||54|po_54|58|2022-04-14|30.5|INSERT
asn55||55|po_55|59|2022-04-15|31|INSERT
asn56||56|po_56|60|2022-04-16|31.5|INSERT
asn57||57|po_57|61|2022-04-17|32|INSERT
asn58||58|po_58|62|2022-04-18|32.5|INSERT
asn59||59|po_59|63|2022-04-19|33|INSERT
asn60||60|po_60|64|2022-04-20|33.5|INSERT
asn61||61|po_61|65|2022-04-21|34|INSERT
asn62||62|po_62|66|2022-04-22|34.5|INSERT
asn63||63|po_63|67|2022-04-23|35|INSERT
asn64||64|po_64|68|2022-04-24|35.5|INSERT
asn65||65|po_65|69|2022-04-25|36|INSERT
asn66||66|po_66|70|2022-04-26|36.5|INSERT
asn67||67|po_67|71|2022-04-27|37|INSERT
asn68||68|po_68|72|2022-04-28|37.5|INSERT
asn69||69|po_69|73|2022-04-29|38|INSERT
asn70||70|po_70|74|2022-04-30|38.5|INSERT
asn71||71|po_71|75|2022-05-01|39|INSERT
asn72||72|po_72|76|2022-05-02|39.5|INSERT
asn73||73|po_73|77|2022-05-03|40|INSERT
asn74||74|po_74|78|2022-05-04|40.5|INSERT
asn75||75|po_75|79|2022-05-05|41|INSERT
asn76||76|po_76|80|2022-05-06|41.5|INSERT
asn77||77|po_77|81|2022-05-07|42|INSERT
asn78||78|po_78|82|2022-05-08|42.5|INSERT
asn79||79|po_79|83|2022-05-09|43|INSERT
asn80||80|po_80|84|2022-05-10|43.5|INSERT
asn81||81|po_81|85|2022-05-11|44|INSERT
asn82||82|po_82|86|2022-05-12|44.5|INSERT
asn83||83|po_83|87|2022-05-13|45|INSERT
asn84||84|po_84|88|2022-05-14|45.5|INSERT
asn85||85|po_85|89|2022-05-15|46|INSERT
asn86||86|po_86|90|2022-05-16|46.5|INSERT
asn87||87|po_87|91|2022-05-17|47|INSERT
asn88||88|po_88|92|2022-05-18|47.5|INSERT
asn89||89|po_89|93|2022-05-19|48|INSERT
asn90||90|po_90|94|2022-05-20|48.5|INSERT
asn91||91|po_91|95|2022-05-21|49|INSERT
asn92||92|po_92|96|2022-05-22|49.5|INSERT
asn93||93|po_93|97|2022-05-23|50|INSERT
asn94||94|po_94|98|2022-05-24|50.5|INSERT
asn95||95|po_95|99|2022-05-25|51|INSERT
asn96||96|po_96|100|2022-05-26|51.5|INSERT
asn97||97|po_97|101|2022-05-27|52|INSERT
asn98||98|po_98|102|2022-05-28|52.5|INSERT
asn99||99|po_99|103|2022-05-29|53|INSERT
asn100||100|po_100|104|2022-05-30|53.5|INSERT
