asn|vendor_id|sku_id|po_number|ordered_quantity|order_date|received_quantity|operation
asn1||1|po_01|5|2022-02-20|4|INSERT
asn2||2|po_02|6|2022-02-21|4.5|INSERT
asn3||3|po_03|7|2022-02-22|5|INSERT
asn4||4|po_04|8|2022-02-23|5.5|INSERT
asn5||5|po_05|9|2022-02-24|6|INSERT
asn6||6|po_06|10|2022-02-25|6.5|INSERT
asn7||7|po_07|11|2022-02-26|7|INSERT
asn8||8|po_08|12|2022-02-27|7.5|INSERT
asn9||9|po_09|13|2022-02-28|8|INSERT
asn10||10|po_10|14|2022-03-01|8.5|INSERT
asn11||11|po_11|15|2022-03-02|9|INSERT
asn12||12|po_12|16|2022-03-03|9.5|INSERT
asn13||13|po_13|17|2022-03-04|10|INSERT
asn14||14|po_14|18|2022-03-05|10.5|INSERT
asn15||15|po_15|19|2022-03-06|11|INSERT
asn16||16|po_16|20|2022-03-07|11.5|INSERT
asn17||17|po_17|21|2022-03-08|12|INSERT
asn18||18|po_18|22|2022-03-09|12.5|INSERT
asn19||19|po_19|23|2022-03-10|13|INSERT
asn20||20|po_20|24|2022-03-11|13.5|INSERT
asn21||21|po_21|25|2022-03-12|14|INSERT
asn22||22|po_22|26|2022-03-13|14.5|INSERT
asn23||23|po_23|27|2022-03-14|15|INSERT
asn24||24|po_24|28|2022-03-15|15.5|INSERT
asn25||25|po_25|29|2022-03-16|16|INSERT
asn26||26|po_26|30|2022-03-17|16.5|INSERT
asn27||27|po_27|31|2022-03-18|17|INSERT
asn28||28|po_28|32|2022-03-19|17.5|INSERT
asn29||29|po_29|33|2022-03-20|18|INSERT
asn30||30|po_30|34|2022-03-21|18.5|INSERT
asn31||31|po_31|35|2022-03-22|19|INSERT
asn32||32|po_32|36|2022-03-23|19.5|INSERT
asn33||33|po_33|37|2022-03-24|20|INSERT
asn34||34|po_34|38|2022-03-25|20.5|INSERT
asn35||35|po_35|39|2022-03-26|21|INSERT
asn36||36|po_36|40|2022-03-27|21.5|INSERT
asn37||37|po_37|41|2022-03-28|22|INSERT
asn38||38|po_38|42|2022-03-29|22.5|INSERT
asn39||39|po_39|43|2022-03-30|23|INSERT
asn40||40|po_40|44|2022-03-31|23.5|INSERT
asn41||41|po_41|45|2022-04-01|24|INSERT
asn42||42|po_42|46|2022-04-02|24.5|INSERT
asn43||43|po_43|47|2022-04-03|25|INSERT
asn44||44|po_44|48|2022-04-04|25.5|INSERT
asn45||45|po_45|49|2022-04-05|26|INSERT
asn46||46|po_46|50|2022-04-06|26.5|INSERT
asn47||47|po_47|51|2022-04-07|27|INSERT
asn48||48|po_48|52|2022-04-08|27.5|INSERT
asn49||49|po_49|53|2022-04-09|28|INSERT
asn50||50|po_50|54|2022-04-10|INVALID|INSERT
asn51||51|po_51|55|2022-04-11|INVALID|INSERT
asn52||52|po_52|56|2022-04-12|INVALID|INSERT
asn53||53|po_53|57|2022-04-13|INVALID|INSERT
asn54||54|po_54|58|2022-04-14|INVALID|INSERT
asn55||55|po_55|59|2022-04-15|INVALID|INSERT
asn56||56|po_56|60|2022-04-16|INVALID|INSERT
asn57||57|po_57|61|2022-04-17|INVALID|INSERT
asn58||58|po_58|62|2022-04-18|INVALID|INSERT
asn59||59|po_59|63|2022-04-19|INVALID|INSERT
asn60||60|po_60|64|2022-04-20|INVALID|INSERT
asn61||61|po_61|65|2022-04-21|INVALID|INSERT
asn62||62|po_62|66|2022-04-22|INVALID|INSERT
asn63||63|po_63|67|2022-04-23|INVALID|INSERT
asn64||64|po_64|68|2022-04-24|INVALID|INSERT
asn65||65|po_65|69|2022-04-25|INVALID|INSERT
asn66||66|po_66|70|2022-04-26|INVALID|INSERT
